State,Population,AreaInSqKm,DensityPerSqKm
Uttar Pradesh,199812341,240928,828
Maharashtra,112374333,307713,365
Bihar,104099452,94163,1102
West Bengal,91276115,88752,1028
Madhya Pradesh,72626809,308245,236
Tamil Nadu,72147030,130058,555
Rajasthan,68548437,342239,201
Karnataka,61095297,191791,319
Gujarat,60439692,196024,308
Andhra Pradesh,49386799,162975,303
